latency,duration,type,marker_value,key,timestamp,marker_id
0.148356,29.975588,sensor_check,true,-1,1716192857.785547,1
41.110048,0.000000,phase_relaxing,59965,-1,1716192898.747239,2
106.074073,3.857239,CQ,NULL,-1,1716192963.711264,3
135.058022,0.000000,eyesclose_element_kkzg,NULL,-1,1716192992.695213,4
161.504315,6.113802,phase_instructions_prep,59961,-1,1716193019.141506,5
173.747535,0.000000,image_fullscreeninstruction,NULL,-1,1716193031.384726,6
174.426846,0.640270,text_navigatebackbuttons,NULL,-1,1716193032.064037,7
175.769852,0.000000,text_navigatebackbuttons_1,NULL,-1,1716193033.407043,8
176.519437,0.406025,text_navigatebackbuttons_2,NULL,-1,1716193034.156628,9
180.884208,0.000000,active_period,true,-1,1716193038.521399,10
187.161981,21.316321,text_element_hyoj,NULL,-1,1716193044.799172,11
188.217809,0.000000,key_down,NULL,18,1716193045.855000,11
808.489785,0.000000,gap_element,auto_generated,-1,1716193666.126976,12
809.005125,22.409465,last_stimuli,2024-05-20T15:27:46.641+07:00,-1,1716193666.642316,13
844.829037,0.000000,finish_running,2024-05-20T15:28:22.468+07:00,-1,1716193702.466228,14
