latency,duration,type,marker_value,key,timestamp,marker_id
0.171781,356.874360,sensor_check,true,-1,1715583108.641778,1
367.360790,0.000000,phase_relaxing,59965,-1,1715583475.830787,2
372.896813,8.222048,CQ,NULL,-1,1715583481.366810,3
402.318158,0.000000,eyesclose_element_1qfn,NULL,-1,1715583510.788155,4
425.750604,1.116574,phase_instructions_prep,59961,-1,1715583534.220601,5
428.108684,0.000000,image_fullscreeninstruction,NULL,-1,1715583536.578681,6
429.162793,1.046301,text_navigatebackbuttons,NULL,-1,1715583537.632790,7
431.481832,0.000000,text_navigatebackbuttons_1,NULL,-1,1715583539.951829,8
432.083065,0.476301,text_navigatebackbuttons_2,NULL,-1,1715583540.553062,9
435.643610,0.000000,active_period,true,-1,1715583544.113607,10
436.588403,1.538218,text_element_hyoj,NULL,-1,1715583545.058400,11
1038.140916,0.000000,gap_element,auto_generated,-1,1715584146.610913,12
1038.648449,51.768450,last_stimuli,2024-05-13T14:09:07.117+07:00,-1,1715584147.118446,13
1099.560316,0.000000,finish_running,2024-05-13T14:10:08.032+07:00,-1,1715584208.030313,14
