latency,duration,type,marker_value,key,timestamp,marker_id
0.179588,6.324621,sensor_check,true,-1,1716365640.719691,1
19.660983,0.000000,phase_relaxing,59965,-1,1716365660.201086,2
83.844175,71.702465,CQ,NULL,-1,1716365724.384278,3
188.434670,0.000000,eyesclose_element_ik0q,NULL,-1,1716365828.974773,4
215.599308,8.261048,phase_instructions_prep,59961,-1,1716365856.139411,5
234.940156,0.000000,image_fullscreeninstruction,NULL,-1,1716365875.480259,6
236.462750,1.046295,text_navigatebackbuttons,NULL,-1,1716365877.002853,7
237.868221,0.000000,text_navigatebackbuttons_1,NULL,-1,1716365878.408324,8
238.258630,0.445066,text_navigatebackbuttons_2,NULL,-1,1716365878.798733,9
242.639016,0.000000,active_period,true,-1,1716365883.179119,10
245.496807,70.101789,text_element_hyoj,NULL,-1,1716365886.036910,11
246.852897,0.000000,key_down,NULL,18,1716365887.393000,11
310.386897,0.000000,key_down,NULL,18,1716365950.927000,11
915.617748,0.000000,gap_element,auto_generated,-1,1716366556.157851,12
916.125279,27.984497,last_stimuli,2024-05-22T15:29:16.667+07:00,-1,1716366556.665382,13
960.506942,0.000000,finish_running,2024-05-22T15:30:01.044+07:00,-1,1716366601.047045,14
