latency,duration,type,marker_value,key,timestamp,marker_id
0.171781,5.668761,sensor_check,true,-1,1715835687.476221,1
12.906973,0.000000,phase_relaxing,59965,-1,1715835700.211413,2
82.072108,27.313123,CQ,NULL,-1,1715835769.376548,3
134.597945,0.000000,eyesclose_element_sby8,NULL,-1,1715835821.902385,4
166.791200,8.542183,phase_instructions_prep,59961,-1,1715835854.095640,5
186.733371,0.000000,image_fullscreeninstruction,NULL,-1,1715835874.037811,6
189.278848,3.209175,text_navigatebackbuttons,NULL,-1,1715835876.583288,7
193.948158,0.000000,text_navigatebackbuttons_1,NULL,-1,1715835881.252598,8
195.095965,3.630818,text_navigatebackbuttons_2,NULL,-1,1715835882.400405,9
209.830060,0.000000,active_period,true,-1,1715835897.134500,10
226.164838,1.280546,text_element_hyoj,NULL,-1,1715835913.469278,11
827.451758,0.000000,gap_element,auto_generated,-1,1715836514.756198,12
827.959292,31.990241,last_stimuli,2024-05-16T12:15:15.265+07:00,-1,1715836515.263732,13
874.082395,0.000000,finish_running,2024-05-16T12:16:01.384+07:00,-1,1715836561.386835,14
