latency,duration,type,marker_value,key,timestamp,marker_id
0.171781,29.288600,sensor_check,true,-1,1715750116.538611,1
54.860491,0.000000,phase_relaxing,59965,-1,1715750171.227321,2
124.017817,5.949857,CQ,NULL,-1,1715750240.384647,3
157.468194,0.000000,eyesclose_element_pkih,NULL,-1,1715750273.835024,4
184.593919,1.873971,phase_instructions_prep,59961,-1,1715750300.960749,5
196.532674,0.000000,image_fullscreeninstruction,NULL,-1,1715750312.899504,6
197.735139,0.648081,text_navigatebackbuttons,NULL,-1,1715750314.101969,7
199.000069,0.000000,text_navigatebackbuttons_1,NULL,-1,1715750315.366899,8
199.538836,0.671506,text_navigatebackbuttons_2,NULL,-1,1715750315.905666,9
203.997324,0.000000,active_period,true,-1,1715750320.364154,10
207.253348,41.164889,text_element_hyoj,NULL,-1,1715750323.620178,11
208.512170,0.000000,key_down,NULL,18,1715750324.879000,11
218.161170,0.000000,key_down,NULL,18,1715750334.528000,11
848.440222,0.000000,gap_element,auto_generated,-1,1715750964.807052,12
848.955564,35.949004,last_stimuli,2024-05-15T12:29:25.318+07:00,-1,1715750965.322394,13
901.785921,0.000000,finish_running,2024-05-15T12:30:18.151+07:00,-1,1715751018.152751,14
