latency,duration,type,marker_value,key,timestamp,marker_id
0.163972,12.368195,sensor_check,true,-1,1716195797.565211,1
19.512701,0.000000,phase_relaxing,59965,-1,1716195816.913940,2
88.677770,8.752997,CQ,NULL,-1,1716195886.079009,3
120.332228,0.000000,eyesclose_element_oe45,NULL,-1,1716195917.733467,4
146.669300,2.006708,phase_instructions_prep,59961,-1,1716195944.070539,5
157.436813,0.000000,image_fullscreeninstruction,NULL,-1,1716195954.838052,6
158.506537,0.359177,text_navigatebackbuttons,NULL,-1,1716195955.907776,7
159.326398,0.000000,text_navigatebackbuttons_1,NULL,-1,1716195956.727637,8
159.802699,0.476300,text_navigatebackbuttons_2,NULL,-1,1716195957.203938,9
163.745842,0.000000,active_period,true,-1,1716195961.147081,10
165.799399,17.381062,text_element_hyoj,NULL,-1,1716195963.200638,11
166.677761,0.000000,key_down,NULL,18,1716195964.079000,11
783.194074,0.000000,gap_element,auto_generated,-1,1716196580.595313,12
783.701607,23.408995,last_stimuli,2024-05-20T16:16:21.103+07:00,-1,1716196581.102846,13
827.880425,0.000000,finish_running,2024-05-20T16:17:05.280+07:00,-1,1716196625.281664,14
