latency,duration,type,marker_value,key,timestamp,marker_id
0.171780,9.736835,sensor_check,true,-1,1715596068.420950,1
39.899938,0.000000,phase_relaxing,59965,-1,1715596108.149108,2
104.380112,7.503687,CQ,NULL,-1,1715596172.629282,3
139.563894,0.000000,eyesclose_element_30ks,NULL,-1,1715596207.813064,4
165.627689,9.541629,phase_instructions_prep,59961,-1,1715596233.876859,5
181.642322,0.000000,image_fullscreeninstruction,NULL,-1,1715596249.891492,6
184.906152,2.717256,text_navigatebackbuttons,NULL,-1,1715596253.155322,7
188.825872,0.000000,text_navigatebackbuttons_1,NULL,-1,1715596257.075042,8
190.559294,1.889586,text_navigatebackbuttons_2,NULL,-1,1715596258.808464,9
199.265445,0.000000,active_period,true,-1,1715596267.514615,10
201.568866,1.343012,text_element_hyoj,NULL,-1,1715596269.818036,11
802.917936,0.000000,gap_element,auto_generated,-1,1715596871.167106,12
803.425470,25.353248,last_stimuli,2024-05-13T17:41:11.674+07:00,-1,1715596871.674640,13
844.801159,0.000000,finish_running,2024-05-13T17:41:53.049+07:00,-1,1715596913.050329,14
