latency,duration,type,marker_value,key,timestamp,marker_id
0.171780,21.925385,sensor_check,true,-1,1716358352.101324,1
39.642158,0.000000,phase_relaxing,59965,-1,1716358391.571702,2
105.387080,14.570074,CQ,NULL,-1,1716358457.316624,3
144.006366,0.000000,eyesclose_element_xtwu,NULL,-1,1716358495.935910,4
172.318847,6.527643,phase_instructions_prep,59961,-1,1716358524.248391,5
187.661931,0.000000,image_fullscreeninstruction,NULL,-1,1716358539.591475,6
188.958090,0.429450,text_navigatebackbuttons,NULL,-1,1716358540.887634,7
189.918497,0.000000,text_navigatebackbuttons_1,NULL,-1,1716358541.848041,8
190.379180,0.609038,text_navigatebackbuttons_2,NULL,-1,1716358542.308724,9
194.892311,0.000000,active_period,true,-1,1716358546.821855,10
200.685985,17.669924,text_element_hyoj,NULL,-1,1716358552.615529,11
202.549456,0.000000,key_down,NULL,18,1716358554.479000,11
818.375927,0.000000,gap_element,auto_generated,-1,1716359170.305471,12
818.883459,28.499878,last_stimuli,2024-05-22T13:26:10.811+07:00,-1,1716359170.813003,13
861.406838,0.000000,finish_running,2024-05-22T13:26:53.338+07:00,-1,1716359213.336382,14
