latency,duration,type,marker_value,key,timestamp,marker_id
0.148356,91.074990,sensor_check,true,-1,1715758185.187144,1
124.189619,0.000000,phase_relaxing,59965,-1,1715758309.228407,2
188.045181,7.909719,CQ,NULL,-1,1715758373.083969,3
221.667343,0.000000,eyesclose_element_830l,NULL,-1,1715758406.706131,4
250.745126,5.653146,phase_instructions_prep,59961,-1,1715758435.783914,5
261.333063,0.000000,image_fullscreeninstruction,NULL,-1,1715758446.371851,6
263.511554,1.179040,text_navigatebackbuttons,NULL,-1,1715758448.550342,7
265.635388,0.000000,text_navigatebackbuttons_1,NULL,-1,1715758450.674176,8
268.188673,1.405478,text_navigatebackbuttons_2,NULL,-1,1715758453.227461,9
273.224970,0.000000,active_period,true,-1,1715758458.263758,10
276.324830,14.695056,text_element_hyoj,NULL,-1,1715758461.363618,11
277.809212,0.000000,key_down,NULL,18,1715758462.848000,11
891.041972,0.000000,gap_element,auto_generated,-1,1715759076.080760,12
891.549505,40.891609,last_stimuli,2024-05-15T14:44:36.584+07:00,-1,1715759076.588293,13
949.072607,0.000000,finish_running,2024-05-15T14:45:34.111+07:00,-1,1715759134.111395,14
