latency,duration,type,marker_value,key,timestamp,marker_id
0.163972,67.853171,sensor_check,true,-1,1716183410.292024,1
78.714363,0.000000,phase_relaxing,59965,-1,1716183488.842415,2
147.879310,25.571822,CQ,NULL,-1,1716183558.007362,3
198.132821,0.000000,eyesclose_element_udjw,NULL,-1,1716183608.260873,4
226.515591,2.061363,phase_instructions_prep,59961,-1,1716183636.643643,5
238.641710,0.000000,image_fullscreeninstruction,NULL,-1,1716183648.769762,6
239.773898,0.843284,text_navigatebackbuttons,NULL,-1,1716183649.901950,7
241.288687,0.000000,text_navigatebackbuttons_1,NULL,-1,1716183651.416739,8
241.811835,1.327393,text_navigatebackbuttons_2,NULL,-1,1716183651.939887,9
246.426476,0.000000,active_period,true,-1,1716183656.554528,10
248.230168,41.274092,text_element_hyoj,NULL,-1,1716183658.358220,11
250.530948,0.000000,key_down,NULL,18,1716183660.659000,11
889.524620,0.000000,gap_element,auto_generated,-1,1716184299.652672,12
890.032152,34.582474,last_stimuli,2024-05-20T12:51:40.161+07:00,-1,1716184300.160204,13
950.592474,0.000000,finish_running,2024-05-20T12:52:40.723+07:00,-1,1716184360.720526,14
