latency,duration,type,marker_value,key,timestamp,marker_id
0.156164,12.493111,sensor_check,true,-1,1715588054.480228,1
55.797358,0.000000,phase_relaxing,59965,-1,1715588110.121422,2
120.722496,5.785873,CQ,NULL,-1,1715588175.046560,3
153.680886,0.000000,eyesclose_element_dcey,NULL,-1,1715588208.004950,4
197.156913,6.363679,phase_instructions_prep,59961,-1,1715588251.480977,5
208.057153,0.000000,image_fullscreeninstruction,NULL,-1,1715588262.381217,6
210.852487,3.724509,text_navigatebackbuttons,NULL,-1,1715588265.176551,7
216.856988,0.000000,text_navigatebackbuttons_1,NULL,-1,1715588271.181052,8
220.237937,5.614092,text_navigatebackbuttons_2,NULL,-1,1715588274.562001,9
234.808028,0.000000,active_period,true,-1,1715588289.132092,10
238.329523,2.951498,text_element_hyoj,NULL,-1,1715588292.653587,11
841.293926,0.000000,gap_element,auto_generated,-1,1715588895.617990,12
841.793651,32.692911,last_stimuli,2024-05-13T15:28:16.120+07:00,-1,1715588896.117715,13
901.573189,0.000000,finish_running,2024-05-13T15:29:15.897+07:00,-1,1715588955.897253,14
