latency,duration,type,marker_value,key,timestamp,marker_id
0.171780,12.625815,sensor_check,true,-1,1716351585.915851,1
22.924794,0.000000,phase_relaxing,59965,-1,1716351608.668865,2
84.500042,4.552164,CQ,NULL,-1,1716351670.244113,3
112.359601,0.000000,eyesclose_element_l8e4,NULL,-1,1716351698.103672,4
138.220268,6.113799,phase_instructions_prep,59961,-1,1716351723.964339,5
151.517585,0.000000,image_fullscreeninstruction,NULL,-1,1716351737.261656,6
153.133877,2.209713,text_navigatebackbuttons,NULL,-1,1716351738.877948,7
155.968243,0.000000,text_navigatebackbuttons_1,NULL,-1,1716351741.712314,8
157.030155,0.663694,text_navigatebackbuttons_2,NULL,-1,1716351742.774226,9
161.832181,0.000000,active_period,true,-1,1716351747.576252,10
164.885176,60.482103,text_element_hyoj,NULL,-1,1716351750.629247,11
166.717929,0.000000,key_down,NULL,18,1716351752.462000,11
825.386286,0.000000,gap_element,auto_generated,-1,1716352411.130357,12
825.893817,24.103828,last_stimuli,2024-05-22T11:33:31.635+07:00,-1,1716352411.637888,13
864.169478,0.000000,finish_running,2024-05-22T11:34:09.912+07:00,-1,1716352449.913549,14
