latency,duration,type,marker_value,key,timestamp,marker_id
0.163972,25.306339,sensor_check,true,-1,1715748472.122846,1
33.239459,0.000000,phase_relaxing,59965,-1,1715748505.198333,2
100.795906,5.957648,CQ,NULL,-1,1715748572.754780,3
134.293036,0.000000,eyesclose_element_zkf0,NULL,-1,1715748606.251910,4
169.750020,6.012305,phase_instructions_prep,59961,-1,1715748641.708894,5
183.172296,0.000000,image_fullscreeninstruction,NULL,-1,1715748655.131170,6
185.444479,2.014513,text_navigatebackbuttons,NULL,-1,1715748657.403353,7
187.958716,0.000000,text_navigatebackbuttons_1,NULL,-1,1715748659.917590,8
188.653645,1.038489,text_navigatebackbuttons_2,NULL,-1,1715748660.612519,9
193.307325,0.000000,active_period,true,-1,1715748665.266199,10
196.414984,13.430085,text_element_hyoj,NULL,-1,1715748668.373858,11
197.377126,0.001000,key_down,NULL,18,1715748669.336000,11
810.091760,0.000000,gap_element,auto_generated,-1,1715749282.050634,12
811.099017,46.263517,last_stimuli,2024-05-15T12:01:23.057+07:00,-1,1715749283.057891,13
872.221517,0.000000,finish_running,2024-05-15T12:02:24.182+07:00,-1,1715749344.180391,14
