latency,duration,type,marker_value,key,timestamp,marker_id
0.171781,8.151769,sensor_check,true,-1,1715753966.918542,1
39.993641,0.000000,phase_relaxing,59965,-1,1715754006.740402,2
104.832999,14.546691,CQ,NULL,-1,1715754071.579760,3
144.358147,0.000000,eyesclose_element_zw9w,NULL,-1,1715754111.104908,4
177.839743,2.615749,phase_instructions_prep,59961,-1,1715754144.586504,5
193.846569,0.000000,image_fullscreeninstruction,NULL,-1,1715754160.593330,6
195.158348,0.554382,text_navigatebackbuttons,NULL,-1,1715754161.905109,7
196.485743,0.000000,text_navigatebackbuttons_1,NULL,-1,1715754163.232504,8
197.094783,1.343012,text_navigatebackbuttons_2,NULL,-1,1715754163.841544,9
203.091487,0.000000,active_period,true,-1,1715754169.838248,10
207.284494,45.115826,text_element_hyoj,NULL,-1,1715754174.031255,11
208.465239,0.000000,key_down,NULL,18,1715754175.212000,11
247.027239,0.000000,key_down,NULL,18,1715754213.774000,11
249.386239,0.000000,key_down,NULL,18,1715754216.133000,11
852.406436,0.000000,gap_element,auto_generated,-1,1715754819.153197,12
852.913970,42.531308,last_stimuli,2024-05-15T13:33:39.659+07:00,-1,1715754819.660731,13
919.330586,0.000000,finish_running,2024-05-15T13:34:46.079+07:00,-1,1715754886.077347,14
