latency,duration,type,marker_value,key,timestamp,marker_id
0.163973,48.988707,sensor_check,true,-1,1715675353.775386,1
89.177562,0.000000,phase_relaxing,59965,-1,1715675442.788975,2
158.334875,4.817665,CQ,NULL,-1,1715675511.946288,3
217.208775,0.000000,eyesclose_element_8d7a,NULL,-1,1715675570.820188,4
250.635720,4.122735,phase_instructions_prep,59961,-1,1715675604.247133,5
270.452956,0.000000,image_fullscreeninstruction,NULL,-1,1715675624.064369,6
271.936516,1.155615,text_navigatebackbuttons,NULL,-1,1715675625.547929,7
274.247746,0.000000,text_navigatebackbuttons_1,NULL,-1,1715675627.859159,8
275.278430,1.702189,text_navigatebackbuttons_2,NULL,-1,1715675628.889843,9
280.900341,0.000000,active_period,true,-1,1715675634.511754,10
284.656089,89.489891,text_element_hyoj,NULL,-1,1715675638.267502,11
289.144587,0.000000,key_down,NULL,18,1715675642.756000,11
299.223587,0.000000,key_down,NULL,91,1715675652.835000,11
310.751587,0.000000,key_down,NULL,18,1715675664.363000,11
321.879587,0.000000,key_down,NULL,18,1715675675.491000,11
974.152231,0.000000,gap_element,auto_generated,-1,1715676327.763644,12
974.659764,33.996945,last_stimuli,2024-05-14T15:45:28.270+07:00,-1,1715676328.271177,13
1025.990934,0.000000,finish_running,2024-05-14T15:46:19.602+07:00,-1,1715676379.602347,14
