latency,duration,type,marker_value,key,timestamp,marker_id
0.132739,507.548471,sensor_check,true,-1,1715585091.297392,1
528.693070,0.000000,phase_relaxing,59965,-1,1715585619.857723,2
568.311866,4.341357,CQ,NULL,-1,1715585659.476519,3
596.093433,0.000000,eyesclose_element_jsei,NULL,-1,1715585687.258086,4
618.401454,2.592322,phase_instructions_prep,59961,-1,1715585709.566107,5
622.313361,0.000000,image_fullscreeninstruction,NULL,-1,1715585713.478014,6
623.578289,1.257120,text_navigatebackbuttons,NULL,-1,1715585714.742942,7
626.154994,0.000000,text_navigatebackbuttons_1,NULL,-1,1715585717.319647,8
626.717185,0.382601,text_navigatebackbuttons_2,NULL,-1,1715585717.881838,9
630.605667,0.000000,active_period,true,-1,1715585721.770320,10
632.518676,0.913559,text_element_hyoj,NULL,-1,1715585723.683329,11
1233.445383,0.000000,gap_element,auto_generated,-1,1715586324.610036,12
1233.952916,109.189838,last_stimuli,2024-05-13T14:45:25.114+07:00,-1,1715586325.117569,13
1357.283400,0.000000,finish_running,2024-05-13T14:47:28.445+07:00,-1,1715586448.448053,14
