latency,duration,type,marker_value,key,timestamp,marker_id
0.132739,56.437649,sensor_check,true,-1,1716177114.643885,1
72.257055,0.000000,phase_relaxing,59965,-1,1716177186.768201,2
141.422065,14.218727,CQ,NULL,-1,1716177255.933211,3
180.299079,0.000000,eyesclose_element_4v79,NULL,-1,1716177294.810225,4
212.671864,2.295610,phase_instructions_prep,59961,-1,1716177327.183010,5
224.095256,0.000000,image_fullscreeninstruction,NULL,-1,1716177338.606402,6
225.399225,0.710546,text_navigatebackbuttons,NULL,-1,1716177339.910371,7
226.796892,0.000000,text_navigatebackbuttons_1,NULL,-1,1716177341.308038,8
227.913465,1.155613,text_navigatebackbuttons_2,NULL,-1,1716177342.424611,9
232.785779,0.000000,active_period,true,-1,1716177347.296925,10
235.549881,17.755840,text_element_hyoj,NULL,-1,1716177350.061027,11
237.256854,0.000000,key_down,NULL,18,1716177351.768000,11
853.326627,0.000000,gap_element,auto_generated,-1,1716177967.837773,12
853.834160,48.754382,last_stimuli,2024-05-20T11:06:08.346+07:00,-1,1716177968.345306,13
917.791102,0.000000,finish_running,2024-05-20T11:07:12.302+07:00,-1,1716178032.302248,14
