latency,duration,type,marker_value,key,timestamp,marker_id
0.171781,476.129314,sensor_check,true,-1,1715755985.706946,1
486.420541,0.000000,phase_relaxing,59965,-1,1715756471.955706,2
555.585707,35.019842,CQ,NULL,-1,1715756541.120872,3
618.980602,0.000000,eyesclose_element_2mmm,NULL,-1,1715756604.515767,4
648.589352,8.526570,phase_instructions_prep,59961,-1,1715756634.124517,5
663.979343,0.000000,image_fullscreeninstruction,NULL,-1,1715756649.514508,6
665.587835,0.788630,text_navigatebackbuttons,NULL,-1,1715756651.123000,7
666.735642,0.000000,text_navigatebackbuttons_1,NULL,-1,1715756652.270807,8
667.133861,0.468493,text_navigatebackbuttons_2,NULL,-1,1715756652.669026,9
670.717832,0.000000,active_period,true,-1,1715756656.252997,10
673.364817,13.031910,text_element_hyoj,NULL,-1,1715756658.899982,11
674.414835,0.000000,key_down,NULL,18,1715756659.950000,11
1286.418983,0.000000,gap_element,auto_generated,-1,1715757271.954148,12
1286.926517,47.505178,last_stimuli,2024-05-15T14:14:32.461+07:00,-1,1715757272.461682,13
1357.247299,0.000000,finish_running,2024-05-15T14:15:42.780+07:00,-1,1715757342.782464,14
