latency,duration,type,marker_value,key,timestamp,marker_id
0.156164,95.439544,sensor_check,true,-1,1715671628.333145,1
111.040314,0.000000,phase_relaxing,59965,-1,1715671739.217295,2
175.887358,21.855133,CQ,NULL,-1,1715671804.064339,3
223.236241,0.000000,eyesclose_element_7yfa,NULL,-1,1715671851.413222,4
250.931902,2.225335,phase_instructions_prep,59961,-1,1715671879.108883,5
255.046820,0.000000,image_fullscreeninstruction,NULL,-1,1715671883.223801,6
256.139967,1.077530,text_navigatebackbuttons,NULL,-1,1715671884.316948,7
257.631332,0.000000,text_navigatebackbuttons_1,NULL,-1,1715671885.808313,8
258.349686,1.155612,text_navigatebackbuttons_2,NULL,-1,1715671886.526667,9
263.440627,0.000000,active_period,true,-1,1715671891.617608,10
267.524312,32.927151,text_element_hyoj,NULL,-1,1715671895.701293,11
269.561019,0.000000,key_down,NULL,18,1715671897.738000,11
901.174801,0.000000,gap_element,auto_generated,-1,1715672529.351782,12
902.182058,26.258953,last_stimuli,2024-05-14T14:42:10.357+07:00,-1,1715672530.359039,13
943.339043,0.000000,finish_running,2024-05-14T14:42:51.514+07:00,-1,1715672571.516024,14
