latency,duration,type,marker_value,key,timestamp,marker_id
0.163971,72.967392,sensor_check,true,-1,1716272314.010976,1
81.946792,0.000000,phase_relaxing,59965,-1,1716272395.793797,2
151.135028,11.368702,CQ,NULL,-1,1716272464.982033,3
188.340980,0.000000,eyesclose_element_ljoc,NULL,-1,1716272502.187985,4
214.677953,6.691605,phase_instructions_prep,59961,-1,1716272528.524958,5
226.569803,0.000000,image_fullscreeninstruction,NULL,-1,1716272540.416808,6
227.631715,0.406025,text_navigatebackbuttons,NULL,-1,1716272541.478720,7
228.560887,0.000000,text_navigatebackbuttons_1,NULL,-1,1716272542.407892,8
229.099651,0.851091,text_navigatebackbuttons_2,NULL,-1,1716272542.946656,9
233.230176,0.000000,active_period,true,-1,1716272547.077181,10
235.713175,45.958916,text_element_hyoj,NULL,-1,1716272549.560180,11
239.316995,0.000000,key_down,NULL,18,1716272553.164000,11
252.753995,0.000000,key_down,NULL,18,1716272566.601000,11
881.691270,0.000000,gap_element,auto_generated,-1,1716273195.538275,12
882.198802,38.408411,last_stimuli,2024-05-21T13:33:16.045+07:00,-1,1716273196.045807,13
930.344006,0.000000,finish_running,2024-05-21T13:34:04.190+07:00,-1,1716273244.191011,14
