latency,duration,type,marker_value,key,timestamp,marker_id
0.179589,3.154515,sensor_check,true,-1,1715673234.441895,1
32.404048,0.000000,phase_relaxing,59965,-1,1715673266.666354,2
98.110087,14.562301,CQ,NULL,-1,1715673332.372393,3
139.704392,0.000000,eyesclose_element_7e94,NULL,-1,1715673373.966698,4
168.446392,4.271087,phase_instructions_prep,59961,-1,1715673402.708698,5
182.618282,0.000000,image_fullscreeninstruction,NULL,-1,1715673416.880588,6
183.969102,0.515341,text_navigatebackbuttons,NULL,-1,1715673418.231408,7
185.226223,0.000000,text_navigatebackbuttons_1,NULL,-1,1715673419.488529,8
185.796222,0.530958,text_navigatebackbuttons_2,NULL,-1,1715673420.058528,9
190.106350,0.000000,active_period,true,-1,1715673424.368656,10
193.815247,12.040251,text_element_hyoj,NULL,-1,1715673428.077553,11
194.819694,0.000000,key_down,NULL,18,1715673429.082000,11
805.861341,0.000000,gap_element,auto_generated,-1,1715674040.123647,12
806.368874,26.688442,last_stimuli,2024-05-14T15:07:20.634+07:00,-1,1715674040.631180,13
849.766873,0.000000,finish_running,2024-05-14T15:08:04.028+07:00,-1,1715674084.029179,14
