latency,duration,type,marker_value,key,timestamp,marker_id
0.132739,77.129467,sensor_check,true,-1,1715593705.649453,1
102.279701,0.000000,phase_relaxing,59965,-1,1715593807.796415,2
166.962886,28.726393,CQ,NULL,-1,1715593872.479600,3
226.234984,0.000000,eyesclose_element_5s9g,NULL,-1,1715593931.751698,4
249.542482,7.066427,phase_instructions_prep,59961,-1,1715593955.059196,5
263.776843,0.000000,image_fullscreeninstruction,NULL,-1,1715593969.293557,6
267.235878,5.137800,text_navigatebackbuttons,NULL,-1,1715593972.752592,7
275.473536,0.000000,text_navigatebackbuttons_1,NULL,-1,1715593980.990250,8
280.744076,4.044651,text_navigatebackbuttons_2,NULL,-1,1715593986.260790,9
290.660499,0.000000,active_period,true,-1,1715593996.177213,10
294.361589,3.654241,text_element_hyoj,NULL,-1,1715593999.878303,11
898.029674,0.000000,gap_element,auto_generated,-1,1715594603.546388,12
898.537208,36.550216,last_stimuli,2024-05-13T17:03:24.052+07:00,-1,1715594604.053922,13
947.096446,0.000000,finish_running,2024-05-13T17:04:12.615+07:00,-1,1715594652.613160,14
