latency,duration,type,marker_value,key,timestamp,marker_id
0.156164,36.175415,sensor_check,true,-1,1716197096.148436,1
46.755532,0.000000,phase_relaxing,59965,-1,1716197142.747804,2
112.125826,15.272849,CQ,NULL,-1,1716197208.118098,3
152.306850,0.000000,eyesclose_element_gizp,NULL,-1,1716197248.299122,4
179.862005,5.856154,phase_instructions_prep,59961,-1,1716197275.854277,5
189.637878,0.000000,image_fullscreeninstruction,NULL,-1,1716197285.630150,6
190.988698,1.210272,text_navigatebackbuttons,NULL,-1,1716197286.980970,7
192.932941,0.000000,text_navigatebackbuttons_1,NULL,-1,1716197288.925213,8
193.682529,0.569999,text_navigatebackbuttons_2,NULL,-1,1716197289.674801,9
202.388677,0.000000,active_period,true,-1,1716197298.380949,10
205.597850,4.255472,text_element_hyoj,NULL,-1,1716197301.590122,11
809.859230,0.000000,gap_element,auto_generated,-1,1716197905.851502,12
810.374572,33.044324,last_stimuli,2024-05-20T16:38:26.363+07:00,-1,1716197906.366844,13
852.773125,0.000000,finish_running,2024-05-20T16:39:08.764+07:00,-1,1716197948.765397,14
